Campaign,Campaign type,Networks,Language,Campaign daily budget,Bid strategy type,Start date,End date,Campaign Status,EU political ads,Location,Location ID,Age,Ad Group,Ad Group Status,Status,Type,Keyword,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Sitelink text,Callout text,Header,Snippet Values,Comment
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,,,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,seguro-auto,auto-digital,Seguro Auto Digital Acme,Acme Seguro Auto Digital,Auto Digital Acme Online,Cotiza Auto Digital Acme,Contrata Auto Digital Acme,Contrata 100% En Línea,Cotiza y Contrata Online,3 Planes Para Elegir,Elige Tu Deducible,"Deducibles 0, 3, 5 o 10 UF",Protección Ante Robo y Daños,Responsabilidad Civil,Grúa y Rescate 24/7,Auto de Reemplazo,Cotiza Tu Seguro Hoy,1,1,1,1,1,,,,,,,,,,,Cotiza y contrata Seguro Auto Digital Acme 100% online según tu tipo de vehículo.,"Elige Plan Básico, Estándar o Premium y revisa el precio antes de contratar.","Protección ante robo, daños materiales y responsabilidad civil. Revisa condiciones.","Incluye grúa 24/7, conductor de reemplazo y reparación in situ.",,,,,RSA con 15 títulos; los 5 títulos Acme/producto están fijados como alternativas en posición 1
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grupo habilitado dentro de campaña pausada; la puja se hereda de Maximizar clics
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,,,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,seguro-auto,cotiza-online,Seguro Auto Digital Acme,Acme Seguro Auto Digital,Auto Digital Acme Online,Cotiza Auto Digital Acme,Contrata Auto Digital Acme,Cotiza y Contrata Ahora,Contrata 100% En Línea,Obtén Tu Cotización,Revisa Tu Precio Online,Elige Tu Plan Hoy,3 Planes Para Elegir,Elige Tu Deducible,Seguro Automotriz Online,Revisa Coberturas y Planes,Contrata Tu Seguro Hoy,1,1,1,1,1,,,,,,,,,,,Cotiza Seguro Auto Digital Acme 100% online y revisa tu precio antes de contratar.,"Compara los planes Básico, Estándar y Premium y elige el que se adapte a ti.","Elige deducible de 0, 3, 5 o 10 UF y revisa coberturas y condiciones.",Cotiza y contrata online tu seguro de auto con respaldo Acme.,,,,,RSA con 15 títulos; los 5 títulos Acme/producto están fijados como alternativas en posición 1
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grupo habilitado dentro de campaña pausada; la puja se hereda de Maximizar clics
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,,,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,seguro-auto,coberturas,Seguro Auto Digital Acme,Acme Seguro Auto Digital,Auto Digital Acme Online,Cotiza Auto Digital Acme,Contrata Auto Digital Acme,3 Planes Para Elegir,Protección Ante Robo y Daños,Daños Materiales y Robo,Responsabilidad Civil,Deducible Inteligente,Grúa y Rescate 24/7,Auto de Reemplazo,Conductor de Reemplazo,Reparación In Situ,Cotiza Según Tu Auto,1,1,1,1,1,,,,,,,,,,,"Elige entre tres planes con coberturas para robo, daños y responsabilidad civil.","Todos los planes incluyen grúa 24/7, conductor de reemplazo y reparación in situ.",Auto de reemplazo según la alternativa elegida. Revisa asistencias por plan.,Cotiza 100% online y revisa qué cubre cada plan antes de contratar.,,,,,RSA con 15 títulos; los 5 títulos Acme/producto están fijados como alternativas en posición 1
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grupo habilitado dentro de campaña pausada; la puja se hereda de Maximizar clics
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,,,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,seguro-auto,3-cuotas-gratis,Seguro Auto Digital Acme,Acme Seguro Auto Digital,Auto Digital Acme Online,Cotiza Auto Digital Acme,Contrata Auto Digital Acme,3 Cuotas Gratis,Aprovecha 3 Cuotas Gratis,Tu Auto Con 3 Cuotas Gratis,Contrata 100% En Línea,Cotiza y Contrata Online,Promoción Hasta 30/09,Beneficios Mundo Acme,Grúa y Rescate 24/7,Conductor de Reemplazo,Reparación In Situ,1,1,1,1,1,,,,,,,,,,,Contrata Auto Digital Acme 100% online y obtén 3 cuotas gratis. Según bases.,Compra 100% en línea de acuerdo con tu tipo de vehículo. Revisa condiciones.,"Incluye grúa 24/7, conductor de reemplazo y reparación in situ.","Promoción vigente hasta el 30/09/2026. Revisa requisitos, condiciones y bases.",,,,,RSA con 15 títulos; los 5 títulos Acme/producto están fijados como alternativas en posición 1
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,seguro auto digital,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,seguro auto digital,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,seguro auto digital acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,seguro auto digital acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,seguro auto acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,seguro auto acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,seguro automotriz acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,seguro automotriz acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,auto digital acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,auto digital acme,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,seguro auto 3 planes,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,seguro auto 3 planes,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Exact,seguro auto deducible 0 uf,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,,Enabled,Phrase,seguro auto deducible 0 uf,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,cotizar seguro de auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,cotizar seguro de auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,cotizar seguro automotriz,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,cotizar seguro automotriz,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,contratar seguro de auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,contratar seguro de auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,contratar seguro automotriz,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,contratar seguro automotriz,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,comprar seguro de auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,comprar seguro de auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,seguro de auto online,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,seguro de auto online,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,seguro automotriz online,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,seguro automotriz online,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Exact,seguro para auto online,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Cotiza y Contrata,,Enabled,Phrase,seguro para auto online,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto robo y daños,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto robo y daños,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto daños materiales,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto daños materiales,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto perdida total,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto perdida total,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto responsabilidad civil,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto responsabilidad civil,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto robo accesorios,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto robo accesorios,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto con grua 24 7,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto con grua 24 7,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Exact,seguro auto con auto reemplazo,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Planes y Coberturas,,Enabled,Phrase,seguro auto con auto reemplazo,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Exact,seguro auto 3 cuotas gratis,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Phrase,seguro auto 3 cuotas gratis,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Exact,seguro automotriz 3 cuotas gratis,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Phrase,seguro automotriz 3 cuotas gratis,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Exact,acme 3 cuotas gratis seguro auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Phrase,acme 3 cuotas gratis seguro auto,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Exact,cotizar seguro auto 3 cuotas,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,,AD | Promo 3 Cuotas,,Enabled,Phrase,cotizar seguro auto 3 cuotas,https://www9.acme.cl/corporate/web/ventadigital/cotizacionPlus/auto-digital/inicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keyword positiva de alta intención
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,,,,Campaign negative,soap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negativa amplia a nivel campaña
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,,,,Campaign negative,seguro obligatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negativa amplia a nivel campaña
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,,,,Campaign negative,seguro obligatorio automotriz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negativa amplia a nivel campaña
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,,,,Campaign negative,seguro obligatorio accidentes personales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negativa amplia a nivel campaña
